Zip_Code,population,minimum_age,maximum_age,mean_income,sum_households,area_land
60644,1301,40.0,44.0,42664,217.927259354515,688029
60618,963,18.0,19.0,123393,188.453280644245,162818
60653,782,45.0,49.0,74365,87.861549073686,215130
60642,280,5.0,9.0,89382,270.919027620948,293931
60614,535,67.0,69.0,62394,658.859554820334,69094
60647,985,18.0,19.0,81319,606.832662559703,334922
60609,518,75.0,79.0,35542,1041.7444015219,647443
60649,2043,25.0,29.0,37066,240.984201937773,327083
60621,1211,30.0,34.0,30211,495.213234737423,657991
60639,3052,40.0,44.0,57933,1138.88565869393,660302
60613,227,20.0,20.0,130979,443.856349858113,325028
60616,1538,50.0,54.0,50613,383.755271160559,821383
60610,1083,40.0,44.0,102681,667.768881422036,1482514
60827,160,65.0,66.0,27391,334.843581115236,3357356
60633,546,50.0,54.0,55726,889.089443648367,4801269
60620,1852,70.0,74.0,45593,192.123722672963,1003068
60655,1138,45.0,49.0,113285,149.886566075606,1042167
60631,15156,45.3,46.4,98276,464.591013702185,971799
60628,1931,40.0,44.0,42441,355.750479525075,639812
60637,1467,55.0,59.0,37468,240.020805644074,326149
60707,525,70.0,74.0,88413,147.558901580962,2061581
60657,294,65.0,66.0,82714,1456.95586675761,276102
60612,1226,0.0,4.0,18778,364.638853194121,246251
60636,1299,30.0,34.0,35206,393.082566899456,326418
60608,1661,55.0,59.0,67450,612241.922964245,588808396
60632,585,85.0,46.4,53685,220.127525153872,980167
60602,622,45.3,46.4,90615,632.082261497435,913689
60619,1018,22.0,24.0,41819,586.57353250344,531538
60641,556,85.0,46.4,51943,674.40962029666,421549
60629,1917,18.0,19.0,52306,271.257477048407,656281
60634,2752,55.0,59.0,65324,719.636055006518,655584
60630,282,20.0,20.0,75449,1002.18106868066,738023
60651,1494,22.0,24.0,35975,1224.27390379837,656674
60625,432,65.0,66.0,76843,1075.47217010927,1903565
60638,1919,10.0,14.0,73734,261.790399785481,653932
60656,98,21.0,21.0,76401,340.849985825897,1282465
60643,413,80.0,84.0,71710,226.5199325918,1672472
60622,254,67.0,69.0,81906,858.62310991443,330814
60626,527,21.0,21.0,57338,389.949164494368,504464
60615,398,60.0,61.0,34994,153.357137775613,319368
60640,1171,5.0,9.0,78469,749.190099853755,336529
60623,2475,50.0,54.0,43216,234.353999889798,329138
60659,1289,45.0,49.0,92855,256.315266054628,591396
60624,394,60.0,61.0,43069,315.578772514372,164712
60660,469,70.0,74.0,84568,1263.90484491214,666198
60646,91,20.0,20.0,119803,503.028313462083,2789745
60607,991,35.0,39.0,122887,524.420801371692,1312112
60652,229,80.0,84.0,67224,216.98956160905,1319649
60617,84155,45.3,46.4,49093,363.0116343727,600222
60645,318,80.0,84.0,68064,856.760053703929,429692
60605,155,80.0,84.0,21649,508.705636409219,791461
